Id,Label,timeset,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
432,,,Biology,NA,25501,1985,1,0.000453
1998,,,Biology,NA,13415,1990,1,0.000173
692,,,Biology,2665427,70877,1970,1,0.000457
1216,,,Biology,NA,6723,2000,1,0.000453
2300,,,Biology,NA,22493,1980,1,0.00113
2337,,,Medical,NA,12432,1975,1,0.000173
2493,,,Biology,NA,12884,1990,1,0.000486
1254,,,Medical,482557,2342,2000,1,0.000494
1680,,,Medical,NA,7382,1990,1,0.000173
1620,,,Biology,NA,7933,1995,1,0.000173
1846,,,Medical,NA,8995,1980,1,0.000494
2653,,,Biology,NA,6072,2000,1,0.000494
687,,,Biology,NA,70768,1980,1,0.000493
200,,,Biology,NA,7057,1995,1,0.000173
331,,,Biology,3528173,90575,1975,1,0.000872
470,,,Biology,NA,21107,1985,1,0.001089
2244,,,Medical,399423,42608,1985,1,0.00104
2191,,,Biology,NA,19995,1985,1,0.000173
2240,,,Biology,NA,13302,1985,1,0.000173
487,,,Biology,NA,932,2005,1,0.000173
2740,,,Biology,NA,7756,1995,1,0.000494
456,,,Biology,18767061,22404,1995,1,0.000173
2230,,,Medical,20284630,13973,1975,1,0.000494
2030,,,Biology,1754581,19416,1990,1,0.000173
1894,,,Biology,NA,5520,1995,1,0.000173
570,,,Medical,104075303,51048,1980,1,0.000632
960,,,Biology,NA,113702,1970,1,0.000698
1563,,,Biology,NA,9269,2000,1,0.000173
155,,,Biology,NA,2788,2005,1,0.000173
1032,,,Biology,731904,113685,1975,1,0.002415
992,,,Biology,NA,3208,1990,1,0.000173
2215,,,Biology,53945885,19233,1985,1,0.001372
1592,,,Biology,NA,4274,2000,1,0.000738
481,,,Biology,NA,677,2005,0,0.000173
1090,,,Biology,NA,2069,2005,0,0.000173
2371,,,Biology,NA,6537,2000,1,0.000173
2698,,,Medical,NA,789,2000,1,0.000173
26,,,Biology,NA,1347,2005,1,0.000173
1958,,,Biology,NA,4941,1995,1,0.000754
1343,,,Medical,NA,4335,2000,1,0.000721
27,,,Biology,NA,1199,2005,1,0.000173
1391,,,Medical,NA,1766,1995,1,0.000173
1512,,,Medical,NA,3094,1990,1,0.000173
28,,,Biology,NA,1900,2005,1,0.000173
2509,,,Medical,290276,19359,1980,1,0.000602
2768,,,Biology,NA,1598,2005,1,0.000173
925,,,Biology,NA,3256,1990,1,0.000173
2141,,,Biology,NA,17219,1995,1,0.000173
1622,,,Biology,NA,14586,1995,1,0.000173
208,,,Medical,NA,5592,1995,1,0.000173
2086,,,Medical,NA,13740,1985,1,0.000173
2758,,,Biology,NA,11042,2000,1,0.000173
2496,,,Biology,NA,6421,1990,1,0.000173
870,,,Medical,NA,641,2005,1,0.000173
1322,,,Biology,NA,10715,1995,1,0.000173
40,,,Medical,NA,2243,2005,1,0.000173
1828,,,Biology,NA,20542,1985,1,0.000173
961,,,Biology,NA,781,2005,1,0.000173
157,,,Medical,NA,564,2005,1,0.000173
112,,,Biology,NA,840,2005,0,0.000173
867,,,Medical,NA,2097,1985,1,0.000173
374,,,Biology,NA,1793,2005,0,0.000173
1817,,,Biology,4700311,5417,1985,1,0.000173
30,,,Biology,NA,1234,2000,0,0.000173
2085,,,Biology,4793678,17723,1990,1,0.000453
2757,,,Biology,NA,854,2000,1,0.000173
915,,,Biology,68110638,8784,1985,1,0.000173
56,,,Biology,NA,1449,2005,1,0.000173
1682,,,Biology,NA,22757,1990,1,0.000494
954,,,Biology,NA,20281,1990,1,0.000173
1774,,,Biology,NA,17133,1990,1,0.000173
2542,,,Biology,NA,45916,1985,1,0.00104
482,,,Biology,NA,3099,2000,1,0.000173
1061,,,Biology,NA,12787,1990,1,0.000173
1147,,,Biology,NA,8791,2000,1,0.000173
1141,,,Biology,NA,1403,2000,1,0.000173
178,,,Medical,NA,2032,2000,1,0.000173
32,,,Biology,NA,3468,2005,1,0.000173
654,,,Medical,NA,5337,2000,1,0.000173
1457,,,Medical,195709,5906,1995,1,0.000173
152,,,Biology,NA,2401,2005,1,0.000457
837,,,Medical,NA,7308,1995,1,0.001006
2591,,,Biology,13969697,55715,1980,1,0.000721
118,,,Biology,NA,1840,2005,0,0.000173
2746,,,Medical,NA,563,2005,1,0.000173
33,,,Biology,NA,478,2005,0,0.000173
2381,,,Biology,3026909,20660,1995,1,0.000173
1590,,,Biology,NA,4109,2000,1,0.000173
1387,,,Biology,4392148,3040,1985,1,0.000173
34,,,Biology,NA,14688,1980,1,0.000738
1375,,,Biology,NA,3487,2000,1,0.000738
454,,,Biology,NA,1653,2005,1,0.000453
543,,,Medical,NA,13340,2000,1,0.000986
1791,,,Biology,NA,6136,1995,1,0.000738
1554,,,Biology,NA,8888,1995,1,0.0011
1396,,,Biology,NA,2709,1995,1,0.000457
1305,,,Biology,NA,9598,2000,1,0.000836
1319,,,Biology,NA,3760,1995,1,0.000173
2617,,,Biology,11903138,34961,1975,1,0.000173
1050,,,Biology,2452376,69014,1970,1,0.001006
84,,,Biology,43633127,974,2005,1,0.000453
2063,,,Biology,NA,8378,1980,1,0.000738
2229,,,Biology,NA,5134,1985,1,0.000486
1890,,,Medical,NA,13632,1995,1,0.001117
2051,,,Biology,15971972,16097,1985,1,0.000173
177,,,Biology,NA,2706,2005,1,0.001113
2008,,,Biology,NA,7503,1985,1,0.000173
1709,,,Biology,NA,12119,1990,1,0.000173
569,,,Biology,4877576,59133,1980,1,0.000532
2196,,,Biology,NA,12858,1975,1,0.000173
2319,,,Biology,27690004,51051,1970,1,0.000173
2311,,,Medical,NA,15365,1970,1,0.000564
35,,,Medical,NA,2242,2005,1,0.000632
1868,,,Medical,NA,4465,1995,1,0.000173
2163,,,Biology,NA,12031,1995,1,0.000632
2557,,,Biology,NA,7722,1985,1,0.000632
727,,,Medical,NA,2845,2005,1,0.000173
2220,,,Medical,NA,13301,1995,1,0.000173
1731,,,Biology,NA,8010,1995,1,0.000173
541,,,Biology,NA,28312,1975,1,0.000173
344,,,Biology,NA,627,2005,1,0.000632
2378,,,Medical,NA,21255,1970,1,0.000173
1438,,,Medical,NA,5453,1995,1,0.000173
1031,,,Medical,NA,25871,1970,1,0.000173
144,,,Biology,NA,1026,2005,1,0.000632
978,,,Biology,500744,1622,2000,1,0.000632
521,,,Medical,NA,400,2005,1,0.000173
1525,,,Medical,NA,3625,1985,1,0.000173
1576,,,Medical,NA,1669,1995,1,0.000173
36,,,Medical,NA,512,2000,1,0.000173
1872,,,Medical,NA,6669,2000,1,0.000173
372,,,Medical,NA,1025,2005,1,0.000532
2367,,,Biology,NA,4079,1980,1,0.000173
2296,,,Biology,NA,4626,1970,1,0.000173
1980,,,Medical,NA,10888,1995,1,0.000173
37,,,Medical,2096850,2321,2000,1,0.000173
2777,,,Biology,NA,4950,2000,1,0.000173
2730,,,Biology,NA,2780,2000,1,0.000173
38,,,Medical,NA,1674,2000,1,0.000533
2117,,,Medical,NA,11576,1990,1,0.000533
1695,,,Medical,NA,8451,1990,1,0.000173
2241,,,Medical,NA,2608,1980,1,0.000173
2190,,,Medical,NA,6721,1985,1,0.000173
225,,,Medical,17415976,2492,1990,1,0.000551
1476,,,Medical,NA,3445,1990,1,0.000173
1298,,,Medical,NA,1490,1995,1,0.000173
912,,,Biology,3012509,2409,1995,1,0.000173
995,,,Biology,NA,47867,1975,1,0.001177
39,,,Biology,NA,2119,2000,1,0.000173
2618,,,Biology,NA,17269,1970,1,0.000173
866,,,Medical,NA,9580,1985,1,0.000173
1960,,,Biology,15793838,7653,1985,1,0.000173
1737,,,Biology,NA,22082,1985,1,0.000453
513,,,Biology,138479,825,2005,1,0.000173
1192,,,Medical,NA,776,2000,1,0.000173
2659,,,Biology,NA,2063,2000,1,0.000173
947,,,Biology,NA,746,2010,1,0.000721
2779,,,Biology,NA,2712,2000,1,0.000173
302,,,Biology,NA,2579,2000,1,0.000173
323,,,Biology,NA,914,2005,1,0.000173
2558,,,Biology,NA,1240,2005,1,0.000173
1163,,,Biology,NA,2676,2000,1,0.000173
41,,,Medical,NA,3386,2005,1,0.000173
1288,,,Biology,NA,2649,2000,1,0.000173
1041,,,Biology,1782326,11175,1995,1,0.000173
1727,,,Biology,117329,4864,1995,1,0.000173
1813,,,Biology,2658880,2250,1990,1,0.000173
592,,,Biology,NA,5763,1990,1,0.000173
903,,,Biology,97782,1837,2000,1,0.000173
2507,,,Biology,NA,4604,1995,1,0.000173
286,,,Biology,NA,8623,2000,1,0.000173
44,,,Biology,NA,3300,2000,1,0.000173
1078,,,Biology,14863461,18142,1980,1,0.000173
297,,,Biology,NA,483,2005,1,0.000173
2211,,,Biology,NA,24432,1995,1,0.000602
340,,,Medical,NA,2873,1995,1,0.000173
45,,,Biology,NA,5479,2000,1,0.000173
2238,,,Biology,NA,26879,1975,1,0.000173
1338,,,Biology,NA,1939,1995,1,0.000173
791,,,Biology,NA,578,2005,1,0.000173
318,,,Biology,NA,1419,2005,1,0.000173
273,,,Biology,NA,3306,2005,1,0.000173
2071,,,Biology,NA,11188,1985,1,0.000818
342,,,Medical,NA,1451,2005,1,0.000173
1028,,,Medical,NA,9952,1985,1,0.000173
1394,,,Biology,NA,6851,2000,1,0.000173
637,,,Medical,NA,11431,1995,1,0.000173
2258,,,Medical,NA,13122,1965,1,0.000173
1654,,,Medical,NA,5084,1990,1,0.000173
2778,,,Biology,NA,3291,2005,1,0.000486
1177,,,Biology,NA,1997,2000,1,0.000173
46,,,Medical,NA,1575,2000,1,0.000173
2522,,,Medical,179311,63687,1985,1,0.000986
472,,,Medical,14724498,20080,1980,1,0.000173
1112,,,Biology,NA,2852,2000,1,0.000486
47,,,Biology,NA,1324,2005,1,0.000173
1823,,,Biology,NA,5810,1990,1,0.000173
1283,,,Medical,NA,12061,2000,1,0.000173
878,,,Medical,NA,4001,1985,1,0.000494
149,,,Biology,NA,962,2005,1,0.000173
1311,,,Biology,NA,3969,1995,1,0.000494
1246,,,Biology,NA,3250,1995,0,0.000173
1920,,,Biology,NA,2560,2000,1,0.000173
814,,,Biology,NA,784,2010,1,0.00044
853,,,Biology,8586,1918,2010,1,0.000721
223,,,Biology,NA,3231,2000,1,0.000721
1515,,,Biology,NA,14921,1995,1,0.000721
238,,,Medical,NA,2212,2005,1,0.00044
1657,,,Biology,NA,12381,2000,1,0.001438
785,,,Biology,NA,2166,2010,1,0.00044
1918,,,Biology,4286543,5397,2000,1,0.000721
2270,,,Biology,NA,6468,2000,1,0.000721
772,,,Biology,NA,3312,2005,1,0.00044
899,,,Medical,NA,1651,2010,1,0.000721
2031,,,Biology,10584600,21404,1995,1,0.001006
1922,,,Medical,NA,12731,1990,1,0.001006
1801,,,Biology,14189247,19986,1985,1,0.001006
1882,,,Medical,NA,3493,1975,1,0.000173
2408,,,Biology,1924342,14104,2000,1,0.000602
2723,,,Medical,NA,2218,2005,1,0.000173
2221,,,Biology,167930155,108741,1980,1,0.000718
1401,,,Biology,NA,1819,1985,0,0.000173
1615,,,Biology,NA,3061,2000,1,0.000173
181,,,Medical,NA,981,2005,1,0.000173
2665,,,Biology,NA,17749,1975,1,0.000453
1044,,,Biology,NA,4077,1990,1,0.000173
49,,,Biology,NA,1739,2005,0,0.000173
1133,,,Biology,NA,788,2000,1,0.000173
1839,,,Biology,NA,6628,1995,0,0.000173
257,,,Biology,NA,423,2000,1,0.000173
1684,,,Biology,39904957,58313,1995,1,0.001042
51,,,Biology,NA,4468,2005,1,0.000551
98,,,Biology,NA,1844,2005,1,0.000173
719,,,Medical,NA,1196,2005,1,0.000551
693,,,Biology,37791488,69060,1980,1,0.000883
987,,,Medical,NA,1369,1995,1,0.000173
1963,,,Biology,NA,2482,2000,0,0.000173
1097,,,Biology,28810231,3812,1980,1,0.000551
2412,,,Biology,NA,15946,1960,1,0.000173
2732,,,Biology,NA,323,2005,0,0.000173
2016,,,Biology,NA,20294,1990,1,0.000551
1198,,,Biology,NA,2240,2000,1,0.000173
597,,,Biology,NA,32860,1985,1,0.000173
165,,,Biology,NA,3129,2005,1,0.000173
438,,,Medical,NA,756,2005,1,0.000173
52,,,Biology,NA,3451,2000,0,0.000173
877,,,Biology,NA,1448,2010,0,0.000173
53,,,Biology,NA,1577,1990,0,0.000173
261,,,Biology,NA,6751,2000,1,0.000173
2226,,,Biology,NA,20367,1990,1,0.001006
2235,,,Biology,NA,29608,1975,1,0.000721
2040,,,Biology,NA,7144,1995,1,0.000173
54,,,Medical,247802,2601,2005,1,0.000173
512,,,Medical,NA,288,2005,1,0.000173
2452,,,Biology,NA,3281,1990,1,0.000173
55,,,Biology,NA,14384,1985,1,0.000453
1820,,,Biology,NA,30508,1990,1,0.000721
1067,,,Medical,NA,36062,2000,1,0.000986
1748,,,Biology,NA,15836,1985,1,0.000721
350,,,Biology,14296069,27444,1970,1,0.000721
2209,,,Biology,NA,10330,1975,1,0.000721
458,,,Medical,517580,43404,1990,1,0.001271
1335,,,Biology,NA,3232,1990,1,0.000173
2182,,,Medical,NA,9466,1990,1,0.001043
2572,,,Biology,5268607,42999,1970,1,0.000775
69,,,Biology,NA,1870,1990,1,0.000453
1688,,,Biology,NA,13168,1985,1,0.000453
2257,,,Biology,NA,29322,1980,1,0.000959
1950,,,Medical,NA,38991,1980,1,0.000775
840,,,Biology,9907936,33560,1980,1,0.000437
2739,,,Biology,NA,3048,2000,0,0.000173
2635,,,Biology,NA,3206,1985,1,0.000173
1493,,,Medical,NA,14689,1990,1,0.000173
2731,,,Medical,NA,2502,2000,1,0.000173
1981,,,Medical,NA,13550,1980,1,0.000173
191,,,Biology,NA,21021,1975,1,0.000551
1546,,,Medical,9053127,3573,1995,1,0.000173
2074,,,Biology,NA,7603,1975,1,0.000494
1300,,,Medical,NA,3193,1995,1,0.000173
1805,,,Biology,NA,11152,1990,1,0.000173
1239,,,Biology,NA,30192,1995,1,0.000986
2249,,,Medical,NA,27622,1990,1,0.000721
2615,,,Medical,NA,32478,1985,1,0.001003
572,,,Biology,3116672,68400,1985,1,0.000986
2526,,,Biology,NA,8683,1975,1,0.000965
1887,,,Biology,NA,16989,1975,1,0.000453
2069,,,Biology,4163888,12079,1985,1,0.000457
1143,,,Biology,NA,6839,2000,1,0.000453
537,,,Medical,NA,98379,1985,1,0.000986
2183,,,Biology,NA,13480,1975,1,0.000173
632,,,Medical,NA,3791,1970,1,0.000173
1080,,,Biology,NA,19464,1980,1,0.000173
1191,,,Medical,17415976,1706,1995,1,0.000173
57,,,Biology,NA,3442,2000,1,0.000173
863,,,Biology,NA,2213,1995,1,0.000533
893,,,Biology,NA,6188,2000,1,0.000602
194,,,Medical,NA,562,2005,1,0.000173
628,,,Medical,NA,8573,1990,1,0.000173
58,,,Medical,NA,7694,1980,1,0.000173
909,,,Biology,212297,14571,1965,1,0.000173
1790,,,Medical,NA,9205,1990,1,0.000173
1544,,,Medical,1979213,4957,1995,1,0.000173
59,,,Biology,NA,2468,2000,1,0.000551
493,,,Medical,NA,1906,2005,1,0.000551
1420,,,Biology,NA,2738,2000,1,0.000551
1012,,,Biology,NA,26879,1990,1,0.000551
606,,,Biology,NA,6709,1985,1,0.000602
1832,,,Medical,13193781,9489,1990,1,0.000173
1145,,,Biology,NA,2675,2000,1,0.000836
1971,,,Biology,NA,17923,1985,1,0.000173
644,,,Medical,NA,6282,1990,1,0.000532
605,,,Medical,NA,9864,1990,1,0.000532
60,,,Biology,NA,1734,2005,1,0.000173
876,,,Biology,NA,288,2010,0,0.000173
1205,,,Biology,NA,4583,2000,1,0.000602
980,,,Medical,178495,1598,1995,1,0.000173
2277,,,Biology,NA,15583,1985,1,0.000173
352,,,Biology,NA,972,2005,1,0.000173
1656,,,Biology,NA,9498,1995,1,0.000173
1566,,,Biology,NA,5578,1995,1,0.000173
